order_id,customer_id,order_date,revenue
1001,C001,2026-01-05,120
1002,C002,2026-01-07,450
1003,C001,2026-02-11,220
1004,C003,2026-02-15,80
1005,C004,2026-03-01,900
1006,C002,2026-03-09,300
1007,C005,2026-03-12,150
1008,C003,2026-03-19,110
1009,C001,2026-04-04,340
1010,C004,2026-04-10,700
1011,C005,2026-04-20,200
1012,C002,2026-05-03,500
1013,C006,2026-05-09,95
1014,C004,2026-05-14,650
1015,C007,2026-05-20,60
1016,C005,2026-06-02,180
1017,C002,2026-06-15,350
1018,C006,2026-06-18,120
1019,C008,2026-06-20,75
1020,C004,2026-06-22,800
